"grupodeatributos","codsap","desnombrecategoriawebredes","codcategoriawebredes","desnombreproductowebredes","desresumen","deswebredes","destitulodescubremas001","destitulodescubremas002","destitulodescubremas003","desdescubremas001","desdescubremas002","desdescubremas003","destitulotip001","destitulotip002","destitulotip003","destitulotip004","destip001","destip002","destip003","destip004","desimagen001","desimagen002","desimagen003","desimagen004","destextovideo001","destextovideo002","destextovideo003","destextovideo004","destextovideo005","desnombrearchivovideo001","desnombrearchivovideo002","desnombrearchivovideo003","desnombrearchivovideo004","desnombrearchivovideo005","deslinkvideo001","deslinkvideo002","deslinkvideo003","deslinkvideo004","deslinkvideo005","descolorrgb","despalabrasclave","destituloperfumista001","destituloperfumista002","desperfumista001","desperfumista002","destitulogeneralpasoapaso","destitulopaso001","destitulopaso002","destitulopaso003","destitulopaso004","despaso001","despaso002","despaso003","despaso004","desvarianttype","desdefaultvariant"
"WebRedes","200095928","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200095930","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200097066","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200097067","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200097070","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200097072","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200072279","DERMO CLARITÉ","lbel-010410","Dermo Clarité Día","Loción facial aclaradora hidratante FPS 30. 30 ml. e 1 fl. oz.","Que las manchas no oculten la belleza de tu rostro. Dermo Clarité ayuda a aclarar la piel y minimiza manchas con resultados en 14 días. Aclara, ilumina, hidrata y protege tu cutis con FPS 30.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Disminuye manchas causadas por el acné, embarazo y rayos solares.","En 14 días*, aclara y empareja el tono de tu piel, la hidrata e ilumina. Te protege del sol con FPS 30 y además, renueva las células de la capa externa de la piel para atenuar las manchas de manera suave y segura.","Contienen Chroma Bright, molécula que combate el proceso de hiperpigmentación sin irritar la piel, al inhibir la enzima tirosinasa que detona este proceso.","PASO 1","PASO 2","PASO 3","","Limpia y tonifica tu rostro.","Aplica una pequeña cantidad de Dermo Clarité Día sobre la yema de los dedos.","Espárcela con suaves masajes sobre todo el rostro , hasta su completa absorción.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200086139","DERMO CLARITÉ","lbel-010410","Dermo Clarité Día","Loción Aclaradora Hidratante para Rostro FPS 30. 30 ml e 1 fl. oz.","Que las manchas no oculten la belleza de tu rostro. Dermo Clarité Día cuenta con microespejos que iluminan y perfeccionan tu piel al instante. Además la protegen del sol y la contaminación. Para gozar de los beneficios del sistema Dermo Clarité, no olvides usar el sérum Dermo Clarité Noche.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Ilumina y perfecciona tu piel al instante y la protege del sol y la contaminación.","Te protege del sol con FPS 30 y además, gracias a sus microespejos, lucirás un rostro iluminado al instante.","La nueva fórmula de Dermo Clarité Día ahora tiene tecnología Brightening System que forma una biopelícula sobre tu piel y la protege de factores que causan manchas.","PASO 1","PASO 2","PASO 3","","Limpia y tonifica tu rostro.","Aplica una pequeña cantidad de Dermo Clarité Dia sobre la yema de los dedos.","Espárcela con suaves masajes sobre todo el rostro, hasta su completa absorción","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200086900","DERMO CLARITÉ","lbel-010410","Sérum Dermo Clarité Noche","Suero Aclarador e Iluminador para Rostro. 30 ml e 1 fl. oz.","Atenúa las manchas de tu rostro y empareja el tono de tu piel con este suero nocturno que aclara visiblemente tu rostro en 14 días.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Es un tratamiento especializado que actúa eficientemente mientras tú duermes. Combate las manchas ocasionadas por el sol, la edad, el embarazo y el acné.","En 14 días, aclara tu piel, hidrata e ilumina tu rostro. Además, renueva las células de la capa externa de la piel para atenuar las manchas de manera suave y segura.","Contiene Chroma Bright, molécula que combate el proceso de hiperpigmentación sin irritar la piel, al inhibir la enzima tirosinasa responsable de la producción del pigmento (melanina) que genera manchas.","PASO 1","PASO 2","PASO 3","","Limpia y tonifica tu rostro.","Aplica una pequeña cantidad de Dermoclarite Noche sobre la yema de los dedos.","Espárcela con suaves masajes sobre todo el rostro , hasta su completa absorción.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200090400","DERMO CLARITÉ","lbel-010410","Sérum Dermo Clarité Noche","Suero Aclarador e Iluminador para Rostro. 30 ml e 1 fl. oz.","Atenúa las manchas de tu rostro y empareja el tono de tu piel con este suero nocturno que aclara visiblemente tu rostro en 14 días. Ayuda a disminuir la producción de melanina contribuyendo a la atenuación de manchas y renovación de la piel. Para gozar de todos los resultados del sistema Dermo Clarité, utiliza también la Loción Dermo Clarité Día.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Es un tratamiento especializado que actúa eficientemente mientras tú duermes.","En 14 días, aclara tu piel, hidrata e ilumina tu rostro. Además, renueva las células de la capa externa de la piel para atenuar las manchas de manera suave y segura.","Contiene Chroma Bright, molécula que combate el proceso de hiperpigmentación sin irritar la piel, al inhibir la enzima tirosinasa responsable de la producción del pigmento (melanina) que genera manchas.","PASO 1","PASO 2","PASO 3","","Limpia y tonifica tu rostro.","Aplica una pequeña cantidad de Dermo Clarité Noche sobre la yema de los dedos.","Espárcela con suaves masajes sobre todo el rostro, hasta su completa absorción.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200085575","PRIMER","lbel-020105","Gel Retexturizante Efecto Rostro Perfecto","Gel retexturizante efecto rostro perfecto 27 g e 0.9 oz.","Este primer es la alternativa ideal para conseguir una piel más uniforme y con un mejor tono. Oculta las imperfecciones del rostro y reduce los poros para conseguir un maquillaje con un acabado más perfecto.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Prepara tu piel para que la base de maquillaje se deslice con mayor facilidad y así potenciar tu maquillaje, logrando un mejor acabado.","Su textura ligera y acabado incoloro se difumina bajo un efecto óptico para unificar la piel del rostro con total transperencia, dejándola suave, luminosa y lisa.","Las Micro esferas y siliconas suavizantes de su formula se funden con la piel formando una película (segunda piel) con efecto perfeccionador inmediato, la textura de la piel se alisa, la apariencia de los poros se reduce y las arrugas son menos visibles.","PASO 1","PASO 2","PASO 3","","Asegúrate de que tu piel esté limpia, tonificada e hidratada.","Extrae una pequeña cantidad del gel y aplícalo a través de pequeños toques en 5 o 6 puntos de tu rostro","Extiéndela suavemente con la yema de los dedos.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200091209","CORRECTORES","lbel-020102","Corrector Color Parfait","Paleta Correctora de Ojeras e Imperfecciones. 4.4 g e .15 oz.","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Por su textura sedosa y variedad de colores. Cada uno pensado para cada imperfección, que permitirá lograr una piel uniforme y perfecta.","Corrige la apariencia de líneas de expresión, hidrata la piel gracias al Hydracomplex y protege tu piel con vitamina E.","Cada color del nuevo corrector Color Parfait neutraliza el tono de una imperfección específica del rostro, dejándolo con una apariencia más lisa y preparado para un maquillaje parejo y uniforme.","PASO 1","PASO 2","PASO 3","","Con el tono morado cubre las zonas con manchas amarillentas. Luego, aplica el naranja sobre imperfecciones azul-verdosas y para disimular ojeras y pecas.","Continúa con el amarillo para imperfecciones oscuras, casi moradas, lunares oscuros y ojeras muy pigmentadas. Finaliza aplicando el verde sobre cualquier tipo de imperfección como acné, o granitos.","Luego de la aplicación, usa una base para cubrir los colores del corrector y así lograr un rostro perfecto. Recomendamos la Base Mousse Matiffiant.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200095425","MAQUILLAJE","esika-010107","Primer Perfect Stay","Primer facial minimiza imperfecciones y prolonga el maquillaje 20 g e (0.70 oz.)","El primer paso para lucir una piel perfecta. Con Perfect Stay olvídate de las imperfecciones y disfruta tu maquillaje por mucho más tiempo.","¿Por qué lo amarás?","Detalles","¿Qué más debes saber?","Porque es la opción ideal para tener un maquillaje impecabl, sin imperfecciones y duradero.","Minimiza la apariencia de poros y líneas de expresión, empareja la textura de la piel y te ofrece un acabado mate.","El tono que tiene es neutral por lo que se adapta a tu tono de piel.","Paso 1","Paso 2","Paso 3","","Aplica el primer con la ayuda de la yema de los dedos en la frente, mejillas, mentón y nariz.","Deja secar por 5 minutos.","Continúa con tu rutina de maquillaje y disfruta de una piel perfecta.","","","","","","","","","","","","","","","","","","","","","","primer, primer esika, primer maquillaje, piel perfecta, como tener una piel perfecta, piel perfecta sin imperfecciones.","","","","","","","","","","","","","","",""
"WebRedes","200096242","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200096276","MAQUILLAJE","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200096582","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200064109","BASES","lbel-020101","Base de Maquillaje Mousse Matiffiant","Base Textura Mousse Acabado Mate FPS 15. 30 g e 1 oz.","Una base de acabado natural para un rostro impecable. Con control de brillo, FPS 15, vitaminas e ingredientes 100% minerales.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200064110","BASES","lbel-020101","Base de Maquillaje Mousse Matiffiant","Base Textura Mousse Acabado Mate FPS 15. 30 g e 1 oz.","Una base de acabado natural para un rostro impecable. Con control de brillo, FPS 15, vitaminas e ingredientes 100% minerales.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200064111","BASES","lbel-020101","Base de Maquillaje Mousse Matiffiant","Base Textura Mousse Acabado Mate FPS 15. 30 g e 1 oz.","Una base de acabado natural para un rostro impecable. Con control de brillo, FPS 15, vitaminas e ingredientes 100% minerales.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200064112","BASES","lbel-020101","Base de Maquillaje Mousse Matiffiant","Base Textura Mousse Acabado Mate FPS 15. 30 g e 1 oz.","Una base de acabado natural para un rostro impecable. Con control de brillo, FPS 15, vitaminas e ingredientes 100% minerales.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200064113","BASES","lbel-020101","Base de Maquillaje Mousse Matiffiant","Base Textura Mousse Acabado Mate FPS 15. 30 g e 1 oz.","Una base de acabado natural para un rostro impecable. Con control de brillo, FPS 15, vitaminas e ingredientes 100% minerales.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200064114","BASES","lbel-020101","Base de Maquillaje Mousse Matiffiant","Base Textura Mousse Acabado Mate FPS 15. 30 g e 1 oz.","Una base de acabado natural para un rostro impecable. Con control de brillo, FPS 15, vitaminas e ingredientes 100% minerales.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200064115","BASES","lbel-020101","Base de Maquillaje Mousse Matiffiant","Base Textura Mousse Acabado Mate FPS 15. 30 g e 1 oz.","Una base de acabado natural para un rostro impecable. Con control de brillo, FPS 15, vitaminas e ingredientes 100% minerales.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200064116","BASES","lbel-020101","Base de Maquillaje Mousse Matiffiant","Base Textura Mousse Acabado Mate FPS 15. 30 g e 1 oz.","Una base de acabado natural para un rostro impecable. Con control de brillo, FPS 15, vitaminas e ingredientes 100% minerales.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200064117","BASES","lbel-020101","Base de Maquillaje Mousse Matiffiant","Base Textura Mousse Acabado Mate FPS 15. 30 g e 1 oz.","Una base de acabado natural para un rostro impecable. Con control de brillo, FPS 15, vitaminas e ingredientes 100% minerales.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079712","POLVOS","lbel-020103","Polvos Compactos de Larga Duración","Polvos compactos de larga duración FPS 15. 12 g e .42 oz.","Novedosa fórmula con activos resistentes al agua y la humedad para evitar que el sudor arruine tu maquillaje y tu rostro luzca intacto todo el día.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Mantiene tu maquillaje intacto hasta por 16 horas sin retoques.","Contienen fillers tratados que ayudan a repeler el agua y el sudor para una mayor duración y resistencia del maquillaje, controlando el exceso de brillo.","Su fórmula esta compuesta por Water Resistant que repele el sudor y grasa del rostro y Native Essence que mejora la radiancia de la piel.","PASO 1","PASO 2","PASO 3","","Aplica los polvos en tu frente y extiende el productos hacia los lados.","Aplica otra pequeña cantidad de polvos en la nariz y barbilla y extiéndelo hacia abajo","Por último, aplica en las mejillas, desde la nariz hacia la sien.","","","","","","","","","","","","","","","","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079713","POLVOS","lbel-020103","Polvos Compactos de Larga Duración","Polvos compactos de larga duración FPS 15. 12 g e .42 oz.","Novedosa fórmula con activos resistentes al agua y la humedad para evitar que el sudor arruine tu maquillaje y tu rostro luzca intacto todo el día.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Mantiene tu maquillaje intacto hasta por 16 horas sin retoques.","Contienen fillers tratados que ayudan a repeler el agua y el sudor para una mayor duración y resistencia del maquillaje, controlando el exceso de brillo.","Su fórmula esta compuesta por Water Resistant que repele el sudor y grasa del rostro y Native Essence que mejora la radiancia de la piel.","PASO 1","PASO 2","PASO 3","","Aplica los polvos en tu frente y extiende el productos hacia los lados.","Aplica otra pequeña cantidad de polvos en la nariz y barbilla y extiéndelo hacia abajo","Por último, aplica en las mejillas, desde la nariz hacia la sien.","","","","","","","","","","","","","","","","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079714","POLVOS","lbel-020103","Polvos Compactos de Larga Duración","Polvos compactos de larga duración FPS 15. 12 g e .42 oz.","Novedosa fórmula con activos resistentes al agua y la humedad para evitar que el sudor arruine tu maquillaje y tu rostro luzca intacto todo el día.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Mantiene tu maquillaje intacto hasta por 16 horas sin retoques.","Contienen fillers tratados que ayudan a repeler el agua y el sudor para una mayor duración y resistencia del maquillaje, controlando el exceso de brillo.","Su fórmula esta compuesta por Water Resistant que repele el sudor y grasa del rostro y Native Essence que mejora la radiancia de la piel.","PASO 1","PASO 2","PASO 3","","Aplica los polvos en tu frente y extiende el productos hacia los lados.","Aplica otra pequeña cantidad de polvos en la nariz y barbilla y extiéndelo hacia abajo","Por último, aplica en las mejillas, desde la nariz hacia la sien.","","","","","","","","","","","","","","","","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079715","POLVOS","lbel-020103","Polvos Compactos de Larga Duración","Polvos compactos de larga duración FPS 15. 12 g e .42 oz.","Novedosa fórmula con activos resistentes al agua y la humedad para evitar que el sudor arruine tu maquillaje y tu rostro luzca intacto todo el día.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Mantiene tu maquillaje intacto hasta por 16 horas sin retoques.","Contienen fillers tratados que ayudan a repeler el agua y el sudor para una mayor duración y resistencia del maquillaje, controlando el exceso de brillo.","Su fórmula esta compuesta por Water Resistant que repele el sudor y grasa del rostro y Native Essence que mejora la radiancia de la piel.","PASO 1","PASO 2","PASO 3","","Aplica los polvos en tu frente y extiende el productos hacia los lados.","Aplica otra pequeña cantidad de polvos en la nariz y barbilla y extiéndelo hacia abajo","Por último, aplica en las mejillas, desde la nariz hacia la sien.","","","","","","","","","","","","","","","","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079716","POLVOS","lbel-020103","Polvos Compactos de Larga Duración","Polvos compactos de larga duración FPS 15. 12 g e .42 oz.","Novedosa fórmula con activos resistentes al agua y la humedad para evitar que el sudor arruine tu maquillaje y tu rostro luzca intacto todo el día.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Mantiene tu maquillaje intacto hasta por 16 horas sin retoques.","Contienen fillers tratados que ayudan a repeler el agua y el sudor para una mayor duración y resistencia del maquillaje, controlando el exceso de brillo.","Su fórmula esta compuesta por Water Resistant que repele el sudor y grasa del rostro y Native Essence que mejora la radiancia de la piel.","PASO 1","PASO 2","PASO 3","","Aplica los polvos en tu frente y extiende el productos hacia los lados.","Aplica otra pequeña cantidad de polvos en la nariz y barbilla y extiéndelo hacia abajo","Por último, aplica en las mejillas, desde la nariz hacia la sien.","","","","","","","","","","","","","","","","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079717","POLVOS","lbel-020103","Polvos Compactos de Larga Duración","Polvos compactos de larga duración FPS 15. 12 g e .42 oz.","Novedosa fórmula con activos resistentes al agua y la humedad para evitar que el sudor arruine tu maquillaje y tu rostro luzca intacto todo el día.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Mantiene tu maquillaje intacto hasta por 16 horas sin retoques.","Contienen fillers tratados que ayudan a repeler el agua y el sudor para una mayor duración y resistencia del maquillaje, controlando el exceso de brillo.","Su fórmula esta compuesta por Water Resistant que repele el sudor y grasa del rostro y Native Essence que mejora la radiancia de la piel.","PASO 1","PASO 2","PASO 3","","Aplica los polvos en tu frente y extiende el productos hacia los lados.","Aplica otra pequeña cantidad de polvos en la nariz y barbilla y extiéndelo hacia abajo","Por último, aplica en las mejillas, desde la nariz hacia la sien.","","","","","","","","","","","","","","","","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079965","BASES","lbel-020101","Base Hydra Absolute","Base hidratante 24h para el rostro FPS 25. 30 ml e 1 fl.oz.","Disfruta de una piel suave y lozana por todo el día. Hydra Absolute te ofrece cobertura y protección solar continua, así como hidratación inmediata que se extiende incluso después de retirar la base de tu rostro.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Te da 12 horas de cobertura, 24 horas de hidratación continua y protección UVA/UVB.","Hidrata, empareja y protege tu piel para que te veas radiante todo el día.","Su complejo Hidramoist brinda una doble función que forma una red sobre la piel, retiene el agua del ambiente e hidrata progresivamente por 24 horas. Además, ayuda a que la hidratación continúe en tu piel aún cuando se retira el producto.","PASO 1","PASO 2","PASO 3","","Aplica una pequeña cantidad de base sobre la frente, nariz, pómulos y mentón.","Extiende la base con la ayuda de una brocha, esponja o tus dedos del interior hacia el exterior del rostro.","No olvides sellar con polvos compactos.","","","","","","","","","","","","","","","","https://youtu.be/sqC2DBOQlJw","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079966","BASES","lbel-020101","Base Hydra Absolute","Base hidratante 24h para el rostro FPS 25. 30 ml e 1 fl.oz.","Disfruta de una piel suave y lozana por todo el día. Hydra Absolute te ofrece cobertura y protección solar continua, así como hidratación inmediata que se extiende incluso después de retirar la base de tu rostro.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Te da 12 horas de cobertura, 24 horas de hidratación continua y protección UVA/UVB.","Hidrata, empareja y protege tu piel para que te veas radiante todo el día.","Su complejo Hidramoist brinda una doble función que forma una red sobre la piel, retiene el agua del ambiente e hidrata progresivamente por 24 horas. Además, ayuda a que la hidratación continúe en tu piel aún cuando se retira el producto.","PASO 1","PASO 2","PASO 3","","Aplica una pequeña cantidad de base sobre la frente, nariz, pómulos y mentón.","Extiende la base con la ayuda de una brocha, esponja o tus dedos del interior hacia el exterior del rostro.","No olvides sellar con polvos compactos.","","","","","","","","","","","","","","","","https://youtu.be/sqC2DBOQlJw","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079967","BASES","lbel-020101","Base Hydra Absolute","Base hidratante 24h para el rostro FPS 25. 30 ml e 1 fl.oz.","Disfruta de una piel suave y lozana por todo el día. Hydra Absolute te ofrece cobertura y protección solar continua, así como hidratación inmediata que se extiende incluso después de retirar la base de tu rostro.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Te da 12 horas de cobertura, 24 horas de hidratación continua y protección UVA/UVB.","Hidrata, empareja y protege tu piel para que te veas radiante todo el día.","Su complejo Hidramoist brinda una doble función que forma una red sobre la piel, retiene el agua del ambiente e hidrata progresivamente por 24 horas. Además, ayuda a que la hidratación continúe en tu piel aún cuando se retira el producto.","PASO 1","PASO 2","PASO 3","","Aplica una pequeña cantidad de base sobre la frente, nariz, pómulos y mentón.","Extiende la base con la ayuda de una brocha, esponja o tus dedos del interior hacia el exterior del rostro.","No olvides sellar con polvos compactos.","","","","","","","","","","","","","","","","https://youtu.be/sqC2DBOQlJw","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079968","BASES","lbel-020101","Base Hydra Absolute","Base hidratante 24h para el rostro FPS 25. 30 ml e 1 fl.oz.","Disfruta de una piel suave y lozana por todo el día. Hydra Absolute te ofrece cobertura y protección solar continua, así como hidratación inmediata que se extiende incluso después de retirar la base de tu rostro.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Te da 12 horas de cobertura, 24 horas de hidratación continua y protección UVA/UVB.","Hidrata, empareja y protege tu piel para que te veas radiante todo el día.","Su complejo Hidramoist brinda una doble función que forma una red sobre la piel, retiene el agua del ambiente e hidrata progresivamente por 24 horas. Además, ayuda a que la hidratación continúe en tu piel aún cuando se retira el producto.","PASO 1","PASO 2","PASO 3","","Aplica una pequeña cantidad de base sobre la frente, nariz, pómulos y mentón.","Extiende la base con la ayuda de una brocha, esponja o tus dedos del interior hacia el exterior del rostro.","No olvides sellar con polvos compactos.","","","","","","","","","","","","","","","","https://youtu.be/sqC2DBOQlJw","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079969","BASES","lbel-020101","Base Hydra Absolute","Base hidratante 24h para el rostro FPS 25. 30 ml e 1 fl.oz.","Disfruta de una piel suave y lozana por todo el día. Hydra Absolute te ofrece cobertura y protección solar continua, así como hidratación inmediata que se extiende incluso después de retirar la base de tu rostro.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Te da 12 horas de cobertura, 24 horas de hidratación continua y protección UVA/UVB.","Hidrata, empareja y protege tu piel para que te veas radiante todo el día.","Su complejo Hidramoist brinda una doble función que forma una red sobre la piel, retiene el agua del ambiente e hidrata progresivamente por 24 horas. Además, ayuda a que la hidratación continúe en tu piel aún cuando se retira el producto.","PASO 1","PASO 2","PASO 3","","Aplica una pequeña cantidad de base sobre la frente, nariz, pómulos y mentón.","Extiende la base con la ayuda de una brocha, esponja o tus dedos del interior hacia el exterior del rostro.","No olvides sellar con polvos compactos.","","","","","","","","","","","","","","","","https://youtu.be/sqC2DBOQlJw","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079970","BASES","lbel-020101","Base Hydra Absolute","Base hidratante 24h para el rostro FPS 25. 30 ml e 1 fl.oz.","Disfruta de una piel suave y lozana por todo el día. Hydra Absolute te ofrece cobertura y protección solar continua, así como hidratación inmediata que se extiende incluso después de retirar la base de tu rostro.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Te da 12 horas de cobertura, 24 horas de hidratación continua y protección UVA/UVB.","Hidrata, empareja y protege tu piel para que te veas radiante todo el día.","Su complejo Hidramoist brinda una doble función que forma una red sobre la piel, retiene el agua del ambiente e hidrata progresivamente por 24 horas. Además, ayuda a que la hidratación continúe en tu piel aún cuando se retira el producto.","PASO 1","PASO 2","PASO 3","","Aplica una pequeña cantidad de base sobre la frente, nariz, pómulos y mentón.","Extiende la base con la ayuda de una brocha, esponja o tus dedos del interior hacia el exterior del rostro.","No olvides sellar con polvos compactos.","","","","","","","","","","","","","","","","https://youtu.be/sqC2DBOQlJw","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079971","BASES","lbel-020101","Base Hydra Absolute","Base hidratante 24h para el rostro FPS 25. 30 ml e 1 fl.oz.","Disfruta de una piel suave y lozana por todo el día. Hydra Absolute te ofrece cobertura y protección solar continua, así como hidratación inmediata que se extiende incluso después de retirar la base de tu rostro.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Te da 12 horas de cobertura, 24 horas de hidratación continua y protección UVA/UVB.","Hidrata, empareja y protege tu piel para que te veas radiante todo el día.","Su complejo Hidramoist brinda una doble función que forma una red sobre la piel, retiene el agua del ambiente e hidrata progresivamente por 24 horas. Además, ayuda a que la hidratación continúe en tu piel aún cuando se retira el producto.","PASO 1","PASO 2","PASO 3","","Aplica una pequeña cantidad de base sobre la frente, nariz, pómulos y mentón.","Extiende la base con la ayuda de una brocha, esponja o tus dedos del interior hacia el exterior del rostro.","No olvides sellar con polvos compactos.","","","","","","","","","","","","","","","","https://youtu.be/sqC2DBOQlJw","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","",""
"WebRedes","200079972","BASES","lbel-020101","Base Hydra Absolute","Base hidratante 24h para el rostro FPS 25. 30 ml e 1 fl.oz.","Disfruta de una piel suave y lozana por todo el día. Hydra Absolute te ofrece cobertura y protección solar continua, así como hidratación inmediata que se extiende incluso después de retirar la base de tu rostro.","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","Te da 12 horas de cobertura, 24 horas de hidratación continua y protección UVA/UVB.","Hidrata, empareja y protege tu piel para que te veas radiante todo el día.","Su complejo Hidramoist brinda una doble función que forma una red sobre la piel, retiene el agua del ambiente e hidrata progresivamente por 24 horas. Además, ayuda a que la hidratación continúe en tu piel aún cuando se retira el producto.","PASO 1","PASO 2","PASO 3","","Aplica una pequeña cantidad de base sobre la frente, nariz, pómulos y mentón.","Extiende la base con la ayuda de una brocha, esponja o tus dedos del interior hacia el exterior del rostro.","No olvides sellar con polvos compactos.","","","","","","","","","","","","","","","","https://youtu.be/sqC2DBOQlJw","https://www.youtube.com/embed/-ta67mfSzEE","","","","","","","","","","","","","","","","","","","",""
